time,station,landuse,elevation,latitude,longitude,swc_wc_a_02_avg,swc_wc_a_02_std,swc_wc_a_05_avg,swc_wc_a_05_std,swc_wc_b_02_avg,swc_wc_b_02_std,swc_wc_b_05_avg,swc_wc_b_05_std,swc_wc_c_02_avg,swc_wc_c_02_std,swc_wc_c_05_avg,swc_wc_c_05_std
,,,,,,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3,m^3/m^3
2022-10-31 00:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3699,0,0.3295,0,0.3334,0,0.3654,0,0.2183667,4.714125e-05
2022-10-31 00:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3699,0,0.3295,0,0.3334,0,0.3654,0,0.2183467,4.988961e-05
2022-10-31 00:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.36954,0.0002939291,0.3295,0,0.3334,0,0.36524,0.0002653213,0.21836,4.899063e-05
2022-10-31 00:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3295,0,0.3334,0,0.3648,0,0.2183933,2.494481e-05
2022-10-31 01:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3295,0,0.3334,0,0.3648,0,0.21838,4.000067e-05
2022-10-31 01:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3295,0,0.3334,0,0.3648,0,0.21806,0.000351756
2022-10-31 01:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3295,0,0.33284,0.0001496687,0.3648,0,0.2180133,0.0003499826
2022-10-31 01:45:00,b2,me,1490,46.6862577024,10.5798451965,0.33376,0.0001496614,0.3693,0,0.3295,0,0.3328,0,0.3648,0,0.2176933,2.494481e-05
2022-10-31 02:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3334,0.0002828334,0.3693,0,0.3295,0,0.3328,0,0.3648,0,0.2177,0
2022-10-31 02:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3295,0,0.3328,0,0.3648,0,0.2177,0
2022-10-31 02:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3295,0,0.3328,0,0.3648,0,0.2177,0
2022-10-31 02:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3338,0,0.3693,0,0.3293,0.0002828334,0.3328,0,0.3648,0,0.2177,0
2022-10-31 03:00:00,b2,me,1490,46.6862577024,10.5798451965,0.33376,0.0001496614,0.3693,0,0.3289,0,0.3328,0,0.3648,0,0.2177,0
2022-10-31 03:15:00,b2,me,1490,46.6862577024,10.5798451965,0.33324,0.0001496614,0.3693,0,0.3289,0,0.3328,0,0.36432,0.0002400041,0.2177,0
2022-10-31 03:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3693,0,0.3289,0,0.3328,0,0.3642,0,0.2177,0
2022-10-31 03:45:00,b2,me,1490,46.6862577024,10.5798451965,0.33324,0.0001496614,0.3693,0,0.3289,0,0.3328,0,0.3642,0,0.2177,0
2022-10-31 04:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3691,0.0002828475,0.3289,0,0.3328,0,0.3642,0,0.2177,0
2022-10-31 04:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3687,0,0.3289,0,0.3328,0,0.3642,0,0.2177,0
2022-10-31 04:30:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3687,0,0.3289,0,0.3324,0.0002828475,0.3642,0,0.2177,0
2022-10-31 04:45:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3687,0,0.3289,0,0.3322,0,0.3642,0,0.2172,0.0003183343
2022-10-31 05:00:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3687,0,0.3289,0,0.3322,0,0.3642,0,0.217,0
2022-10-31 05:15:00,b2,me,1490,46.6862577024,10.5798451965,0.33292,0.0002993376,0.3687,0,0.3289,0,0.3322,0,0.3642,0,0.21702,4.000068e-05
2022-10-31 05:30:00,b2,me,1490,46.6862577024,10.5798451965,0.33312,0.0002039642,0.3687,0,0.3289,0,0.3322,0,0.3642,0,0.217,0
2022-10-31 05:45:00,b2,me,1490,46.6862577024,10.5798451965,0.33312,0.0002039642,0.3687,0,0.32834,0.0001496687,0.3322,0,0.3642,0,0.217,0
2022-10-31 06:00:00,b2,me,1490,46.6862577024,10.5798451965,0.333,0.0002828475,0.3687,0,0.3283,0,0.3322,0,0.3642,0,0.2170133,3.399404e-05
2022-10-31 06:15:00,b2,me,1490,46.6862577024,10.5798451965,0.3332,0,0.3687,0,0.3283,0,0.3322,0,0.3642,0,0.21702,4.000068e-05
