"","Station_na","Land_use","Aspect","Latitude","Longitude","Altitude","Altitude_a","Date","Pred_20m_map","SMC_map_20m"
"1","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201002_053507",NA,NA
"2","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201002_053507",NA,NA
"3","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201002_053507",NA,NA
"4","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201002_053507",NA,NA
"5","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201002_053507",NA,NA
"6","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201002_053507",NA,NA
"7","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201002_053507",NA,NA
"8","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201002_053507",NA,NA
"9","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201002_053507",NA,NA
"10","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201002_053507",NA,NA
"11","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201002_053507",NA,NA
"12","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201002_053507",NA,NA
"13","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201002_053507",NA,NA
"14","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201002_053507",NA,NA
"15","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201002_053507",NA,NA
"16","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201002_053507",NA,NA
"17","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201002_053507",NA,NA
"18","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201002_053507",NA,NA
"19","F6","Forest","North",46.695578,10.648088,2360,2400,"20201002_053507",NA,NA
"20","F5","Forest","South",46.73886,10.68865,2090,2100,"20201002_053507",NA,NA
"21","F4","Forest","North",46.69865,10.64211,2027,2000,"20201002_053507",NA,NA
"22","F3","Forest","South",46.69759,10.60724,1985,2000,"20201002_053507",NA,NA
"23","F2","Forest","South",46.69435,10.61268,1710,1700,"20201002_053507",NA,NA
"24","F1","Forest","South",46.67776,10.577797,1154,1200,"20201002_053507",NA,NA
"25","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201003_052615",0.18,NA
"26","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201003_052615",0.15,NA
"27","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201003_052615",0.18,NA
"28","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201003_052615",NA,NA
"29","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201003_052615",NA,NA
"30","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201003_052615",NA,NA
"31","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201003_052615",NA,NA
"32","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201003_052615",0.16,NA
"33","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201003_052615",0.18,NA
"34","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201003_052615",0.24,NA
"35","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201003_052615",0.14,NA
"36","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201003_052615",0.28,NA
"37","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201003_052615",NA,NA
"38","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201003_052615",NA,NA
"39","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201003_052615",NA,NA
"40","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201003_052615",0.16,NA
"41","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201003_052615",NA,NA
"42","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201003_052615",NA,NA
"43","F6","Forest","North",46.695578,10.648088,2360,2400,"20201003_052615",NA,NA
"44","F5","Forest","South",46.73886,10.68865,2090,2100,"20201003_052615",NA,NA
"45","F4","Forest","North",46.69865,10.64211,2027,2000,"20201003_052615",NA,NA
"46","F3","Forest","South",46.69759,10.60724,1985,2000,"20201003_052615",NA,NA
"47","F2","Forest","South",46.69435,10.61268,1710,1700,"20201003_052615",0.17,NA
"48","F1","Forest","South",46.67776,10.577797,1154,1200,"20201003_052615",0.25,NA
"49","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201004_051845",NA,NA
"50","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201004_051845",NA,NA
"51","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201004_051845",NA,NA
"52","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201004_051845",NA,NA
"53","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201004_051845",NA,NA
"54","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201004_051845",NA,NA
"55","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201004_051845",NA,NA
"56","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201004_051845",NA,NA
"57","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201004_051845",NA,NA
"58","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201004_051845",NA,NA
"59","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201004_051845",NA,NA
"60","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201004_051845",NA,NA
"61","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201004_051845",NA,NA
"62","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201004_051845",NA,NA
"63","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201004_051845",NA,NA
"64","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201004_051845",NA,NA
"65","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201004_051845",NA,NA
"66","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201004_051845",NA,NA
"67","F6","Forest","North",46.695578,10.648088,2360,2400,"20201004_051845",NA,NA
"68","F5","Forest","South",46.73886,10.68865,2090,2100,"20201004_051845",NA,NA
"69","F4","Forest","North",46.69865,10.64211,2027,2000,"20201004_051845",NA,NA
"70","F3","Forest","South",46.69759,10.60724,1985,2000,"20201004_051845",NA,NA
"71","F2","Forest","South",46.69435,10.61268,1710,1700,"20201004_051845",NA,NA
"72","F1","Forest","South",46.67776,10.577797,1154,1200,"20201004_051845",NA,NA
"73","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201004_171435",0.15,NA
"74","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201004_171435",0.17,NA
"75","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201004_171435",0.17,NA
"76","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201004_171435",NA,NA
"77","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201004_171435",NA,NA
"78","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201004_171435",NA,NA
"79","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201004_171435",NA,NA
"80","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201004_171435",0.19,NA
"81","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201004_171435",0.22,NA
"82","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201004_171435",0.19,NA
"83","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201004_171435",0.21,NA
"84","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201004_171435",0.25,NA
"85","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201004_171435",NA,NA
"86","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201004_171435",NA,NA
"87","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201004_171435",NA,NA
"88","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201004_171435",0.14,NA
"89","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201004_171435",NA,NA
"90","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201004_171435",NA,NA
"91","F6","Forest","North",46.695578,10.648088,2360,2400,"20201004_171435",NA,NA
"92","F5","Forest","South",46.73886,10.68865,2090,2100,"20201004_171435",NA,NA
"93","F4","Forest","North",46.69865,10.64211,2027,2000,"20201004_171435",NA,NA
"94","F3","Forest","South",46.69759,10.60724,1985,2000,"20201004_171435",NA,NA
"95","F2","Forest","South",46.69435,10.61268,1710,1700,"20201004_171435",0.22,NA
"96","F1","Forest","South",46.67776,10.577797,1154,1200,"20201004_171435",0.2,NA
"97","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201005_050951",NA,NA
"98","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201005_050951",NA,NA
"99","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201005_050951",NA,NA
"100","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201005_050951",NA,NA
"101","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201005_050951",NA,NA
"102","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201005_050951",NA,NA
"103","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201005_050951",NA,NA
"104","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201005_050951",NA,NA
"105","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201005_050951",NA,NA
"106","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201005_050951",NA,NA
"107","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201005_050951",NA,NA
"108","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201005_050951",NA,NA
"109","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201005_050951",NA,NA
"110","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201005_050951",NA,NA
"111","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201005_050951",NA,NA
