;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;I1;20;121;121;0,13;0,11;0,11;0,09;0,02;0,01;-1,38;-0,78;0,03;0,03;0,17;0,17;0,18;0,18
2;Pred_20;obs_02;I1;20;83;83;0,14;0,13;0,12;0,11;0,02;0,02;-2,11;-1,67;0,00;0,00;0,09;0,08;0,03;-0,04
3;Pred_50;obs_02;I1;50;87;87;0,12;0,11;0,11;0,10;0,02;0,01;-0,89;-0,55;0,05;0,05;0,27;0,29;0,22;0,22
4;Pred_100;obs_02;I1;100;87;87;0,13;0,12;0,11;0,10;0,02;0,01;-1,18;-0,78;0,08;0,07;0,30;0,30;0,29;0,27
5;Pred_200;obs_02;I1;200;108;108;0,10;0,11;0,09;0,09;0,01;0,01;-0,22;-0,40;0,08;0,00;0,34;0,10;0,29;0,05
6;Pred_500;obs_02;I1;500;195;195;0,15;0,13;0,13;0,11;0,02;0,02;-1,30;-1,08;0,00;0,00;0,14;0,15;0,05;0,07
7;Pred_20m_map;obs_05;I1;20;;;;;;;;;;;;;;;;
8;Pred_20;obs_05;I1;20;;;;;;;;;;;;;;;;
9;Pred_50;obs_05;I1;50;;;;;;;;;;;;;;;;
10;Pred_100;obs_05;I1;100;;;;;;;;;;;;;;;;
11;Pred_200;obs_05;I1;200;;;;;;;;;;;;;;;;
12;Pred_500;obs_05;I1;500;;;;;;;;;;;;;;;;
