;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;M2;20;99;99;0,07;0,06;0,06;0,05;0,01;0,00;-0,13;-0,16;0,08;0,05;0,23;0,15;0,28;0,22
2;Pred_20;obs_02;M2;20;242;242;0,09;0,07;0,07;0,06;0,01;0,01;-0,29;-0,37;0,07;0,14;0,29;0,41;0,27;0,37
3;Pred_50;obs_02;M2;50;242;242;0,09;0,07;0,07;0,06;0,01;0,01;-0,37;-0,53;0,10;0,16;0,35;0,46;0,32;0,40
4;Pred_100;obs_02;M2;100;242;242;0,11;0,10;0,09;0,08;0,01;0,01;-1,09;-1,60;0,00;0,00;0,01;0,05;-0,01;0,02
5;Pred_200;obs_02;M2;200;277;277;0,09;0,08;0,07;0,06;0,01;0,01;-0,33;-0,57;0,03;0,01;0,17;0,13;0,17;0,11
6;Pred_500;obs_02;M2;500;338;338;0,08;0,07;0,06;0,05;0,01;0,00;-0,04;-0,24;0,19;0,16;0,38;0,35;0,44;0,40
7;Pred_20m_map;obs_05;M2;20;99;;;;;;;;;;;;;;;
8;Pred_20;obs_05;M2;20;242;;;;;;;;;;;;;;;
9;Pred_50;obs_05;M2;50;242;;;;;;;;;;;;;;;
10;Pred_100;obs_05;M2;100;242;;;;;;;;;;;;;;;
11;Pred_200;obs_05;M2;200;277;;;;;;;;;;;;;;;
12;Pred_500;obs_05;M2;500;338;;;;;;;;;;;;;;;
