;(Pred_type);;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20;Pred_20;obs_02;M3;20;396;311;0,17;0,29;0,15;0,28;0,03;0,08;-1,94;-28,06;0,00;0,03;-0,03;-0,01;0,01;0,16
2;Pred_50;Pred_50;obs_02;M3;50;905;632;0,18;0,29;0,16;0,28;0,03;0,08;-1,49;-17,28;0,07;0,02;0,27;0,20;0,26;0,13
3;Pred_100;Pred_100;obs_02;M3;100;1314;953;0,18;0,29;0,16;0,28;0,03;0,08;-1,47;-16,98;0,05;0,03;0,23;0,24;0,21;0,18
4;Pred_200;Pred_200;obs_02;M3;200;1314;953;0,19;0,30;0,17;0,29;0,04;0,09;-1,64;-17,88;0,05;0,03;0,23;0,15;0,23;0,16
5;Pred_500;Pred_500;obs_02;M3;500;1382;994;0,21;0,31;0,18;0,31;0,04;0,10;-2,18;-20,66;0,01;0,00;0,11;0,10;0,12;0,05
6;;;obs_05;M3;20;;;;;;;;;;;;;;;;
7;;;obs_05;M3;50;;;;;;;;;;;;;;;;
8;;;obs_05;M3;100;;;;;;;;;;;;;;;;
9;;;obs_05;M3;200;;;;;;;;;;;;;;;;
10;;;obs_05;M3;500;;;;;;;;;;;;;;;;
