;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;P1;20;121;121;0,11;0,10;0,09;0,09;0,01;0,01;-0,03;-0,07;0,03;0,01;0,15;0,07;0,18;0,07
2;Pred_20;obs_02;P1;20;146;146;0,10;0,10;0,09;0,09;0,01;0,01;-0,23;-0,18;0,11;0,03;0,36;0,25;0,33;0,16
3;Pred_50;obs_02;P1;50;146;146;0,10;0,10;0,08;0,08;0,01;0,01;-0,17;-0,14;0,14;0,04;0,36;0,24;0,37;0,19
4;Pred_100;obs_02;P1;100;146;146;0,09;0,09;0,08;0,08;0,01;0,01;0,06;0,05;0,22;0,09;0,49;0,36;0,47;0,30
5;Pred_200;obs_02;P1;200;161;161;0,09;0,09;0,08;0,08;0,01;0,01;0,00;-0,03;0,09;0,03;0,34;0,25;0,30;0,18
6;Pred_500;obs_02;P1;500;278;278;0,10;0,10;0,08;0,09;0,01;0,01;0,00;-0,22;0,13;0,06;0,31;0,25;0,37;0,25
7;Pred_20m_map;obs_05;P1;20;;;;;;;;;;;;;;;;
8;Pred_20;obs_05;P1;20;;;;;;;;;;;;;;;;
9;Pred_50;obs_05;P1;50;;;;;;;;;;;;;;;;
10;Pred_100;obs_05;P1;100;;;;;;;;;;;;;;;;
11;Pred_200;obs_05;P1;200;;;;;;;;;;;;;;;;
12;Pred_500;obs_05;P1;500;;;;;;;;;;;;;;;;
