;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20;obs_02;S3;20;71;71;0,16;0,22;0,16;0,21;0,03;0,05;-3,04;-16,97;0,30;0,26;0,73;0,73;0,55;0,51
2;Pred_50;obs_02;S3;50;130;130;0,16;0,22;0,16;0,21;0,03;0,05;-3,52;-20,41;0,06;0,05;0,23;0,22;0,25;0,23
3;Pred_100;obs_02;S3;100;130;130;0,17;0,22;0,16;0,22;0,03;0,05;-3,72;-21,10;0,02;0,01;0,18;0,14;0,12;0,09
4;Pred_200;obs_02;S3;200;153;153;0,17;0,22;0,16;0,21;0,03;0,05;-4,09;-21,94;0,05;0,06;0,20;0,26;0,23;0,25
5;Pred_500;obs_02;S3;500;178;178;0,17;0,23;0,16;0,23;0,03;0,05;-4,23;-24,70;0,09;0,12;0,27;0,31;0,31;0,35
6;Pred_20;obs_05;S3;20;;;;;;;;;;;;;;;;
7;Pred_50;obs_05;S3;50;;;;;;;;;;;;;;;;
8;Pred_100;obs_05;S3;100;;;;;;;;;;;;;;;;
9;Pred_200;obs_05;S3;200;;;;;;;;;;;;;;;;
10;Pred_500;obs_05;S3;500;;;;;;;;;;;;;;;;
