Land_use;Depth;Footprint;;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
Meadow;obs_02;Pred_20m_map;Pred_20m_map;654;700;0,13;0,13;0,11;0,10;0,02;0,02;-0,50;-0,04;0,12;0,01;0,32;0,08;0,34;0,11
Meadow;obs_02;Pred_20;Pred_20;1361;1842;0,12;0,12;0,10;0,10;0,02;0,02;-0,29;0,03;0,02;0,04;-0,17;0,24;-0,13;0,20
Meadow;obs_02;Pred_50;Pred_50;1164;1980;0,12;0,13;0,10;0,11;0,01;0,02;-0,21;0,01;0,01;0,04;-0,16;0,24;-0,11;0,20
Meadow;obs_02;Pred_100;Pred_100;1179;2089;0,12;0,13;0,10;0,11;0,01;0,02;-0,18;-0,07;0,02;0,01;-0,18;0,12;-0,16;0,07
Meadow;obs_02;Pred_200;Pred_200;909;2314;0,10;0,13;0,08;0,11;0,01;0,02;0,18;-0,07;0,24;0,02;0,50;0,18;0,49;0,14
Meadow;obs_02;Pred_500;Pred_500;1254;2674;0,13;0,13;0,11;0,11;0,02;0,02;-0,06;-0,04;0,07;0,04;0,23;0,20;0,27;0,20
Pasture;obs_02;;;;;;;;;;;;;;;;;;
Pasture;obs_02;;;;;;;;;;;;;;;;;;
Pasture;obs_02;;;;;;;;;;;;;;;;;;
Pasture;obs_02;;;;;;;;;;;;;;;;;;
Pasture;obs_02;;;;;;;;;;;;;;;;;;
Pasture;obs_02;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
NA;obs_02;Pred_20;;196;;0,106;;0,088;;0,011;;-1,103;;0,032;;0,076;;0,179;
NA;obs_02;Pred_50;;196;;0,11;;0,09;;0,012;;-1,277;;0,061;;0,154;;0,248;
NA;obs_02;Pred_100;;196;;0,098;;0,08;;0,01;;-0,812;;0,151;;0,425;;0,388;
NA;obs_02;Pred_200;;196;;0,088;;0,073;;0,008;;-0,457;;0,258;;0,488;;0,508;
NA;obs_02;Pred_500;;194;;0,104;;0,085;;0,011;;-0,811;;0,131;;0,383;;0,361;
